inquiry,discipline,traditional,progressive,readingscore,mathscore,pocschool,pocsd,povertyschool,povertysd,students,age,expulsions,titlei,ethnicisolated,collegesd,popdensity,unemployment,foreignborn,closerate,publicdensity,charterdensity
0.005035051706107907,0.0015487667944399269,0.0002323150191659891,0.00015490066994539758,49,31,0.18253968253968253,-48.72,0.2904761904761905,13.53,630.0,8.0,0.0,1.0,0,36.7,1840.055,6.79,6.73,0.0,66,8.0
0.0030336029869321704,0.00015546055188495915,0.0003109211037699184,0.00015546055188495915,,,1.0,-73.56,0.7857142857142857,15.32,14.0,10.0,0.0,1.0,1,15.589999999999998,143.0299,9.14,8.4,0.0,1048,307.0
0.0028416429863084487,0.0,0.00012913223140495865,0.0003874967708602428,60-69,20-29,1.0,-37.2,0.9347181008902076,16.07,337.0,3.0,,1.0,1,39.71,7366.9119999999975,9.3,27.25,0.007692307692307694,245,125.0
0.015562248995983937,0.0,0.0,0.0004999999999999999,40-44,30-34,0.2368421052631579,-86.72,0.7763157894736842,16.95,76.0,9.0,0.0,1.0,0,11.16,35.50957000000001,9.93,3.51,0.0625,75,36.0
0.005353516706664208,0.002769060365515968,0.0005535055350553505,0.000184535892231039,40,31,0.9953917050691244,-63.78,0.7949308755760369,14.63,434.0,1.0,0.0,,1,47.67,7390.005999999998,6.86,15.31,0.0,84,5.0
0.006697923643670464,0.0026755852842809355,0.0013377926421404675,0.0,21-39,LE20,0.08333333333333333,-90.79,0.9523809523809524,7.63,84.0,17.0,,1.0,0,41.16,392.4558,7.42,5.11,0.0,310,92.0
0.0033644025610656213,0.005132518538862951,0.0006007036814554192,0.0001373178393037985,60-64,50-54,0.9041095890410958,-73.05,0.8184931506849316,15.33,292.0,8.0,0.0,1.0,0,29.04000000000001,778.4202,9.39,13.6,0.0,12,0.0
0.007980900409276948,0.00020424836601307196,0.0005446623093681919,0.0004086080087169709,GE50,GE50,0.1,-90.39,0.7,11.66,10.0,1.0,0.0,,0,21.09,42.2229,8.21,5.72,0.0,38,11.0
0.00611091307226155,0.004913191792678582,0.0007127402316405754,0.00012728152126874223,47,12,0.784366576819407,-62.79,0.7421383647798742,11.19,2226.0,17.0,0.0,1.0,0,42.41,5228.638,7.58,25.15,0.004405286343612335,371,117.0
0.005633802816901408,0.0028169014084507035,0.0007042253521126764,0.0,50-54,45-49,0.8252212389380531,-75.95,0.7699115044247787,12.21,452.0,3.0,2.0,1.0,0,45.72000000000001,4335.309,5.39,15.86,0.009708737864077669,292,35.0
0.0,0.0,0.0,0.0,70-74,55-59,0.813953488372093,-72.4,0.813953488372093,5.05,129.0,8.0,,1.0,0,46.24,2689.736,4.54,17.5,0.0,3,0.0
0.0055458798620359965,0.00014337798533448038,8.192971795694586e-05,0.0002390171614321908,50-59,40-49,0.0505050505050505,-96.2,0.13131313131313133,4.46,99.0,17.0,,0.0,0,20.06,99.18552,3.37,1.22,0.0,3,0.0
0.005917159763313611,0.0014749262536873154,0.0,0.0,60-64,60-64,0.9813084112149532,-33.03,-0.002336448598130841,20.56,428.0,-1.0,0.0,,0,36.18,2260.154,9.78,5.89,0.0,7,1.0
0.003615982643283312,0.002170767004341534,0.0005422013374299657,0.0001807664497469269,83,77,0.5617977528089888,-71.37,0.0,14.43,356.0,4.0,0.0,0.0,0,33.06,580.1303,7.3,10.49,0.0,5,1.0
0.0065795613625758255,0.0019132057862809144,0.00046659201194475567,0.00046672267338747315,6-9,LE5,0.9941348973607038,-45.01,0.9912023460410556,24.13,341.0,4.0,0.0,1.0,1,23.52,6235.4609999999975,10.31,9.74,0.0,6,0.0
0.013362541073384445,0.0,0.000875848478213269,0.000876424189307625,GE50,PS,0.0,-91.54,-0.07692307692307693,4.06,13.0,1.0,0.0,0.0,0,56.23,276.1346,5.16,8.8,0.0,68,20.0
0.0,0.0,0.0,0.0,38,18,0.4709443099273608,-74.58,0.30145278450363194,6.52,826.0,0.0,,,0,27.670000000000005,102.1383,6.81,8.32,0.0,40,5.0
0.005851399705325193,4.207868714496103e-05,0.00046286555859457166,0.0002525252525252526,40-59,21-39,0.09836065573770493,-94.67,0.29508196721311475,4.59,122.0,8.0,,1.0,0,47.06999999999999,744.538,4.14,3.94,0.0,50,7.0
0.006222117868044141,0.0004695386782486205,0.00035223670306445916,0.000704804416774345,,,1.0,-54.08,0.0,20.86,29.0,5.0,0.0,0.0,1,32.24,3979.48,8.29,10.57,0.0,10,0.0
0.004608294930875575,0.000657894736842105,0.0,0.0,55,37,0.3663911845730027,-68.62,0.2865013774104683,9.69,363.0,9.0,0.0,0.0,0,28.46,5146.731,7.86,20.5,0.06666666666666668,538,133.0
0.001568490763332172,0.0,0.0,0.0,88,90,0.8574660633484162,-83.81,0.7918552036199095,19.35,442.0,14.0,0.0,1.0,0,8.5,80.18387,5.51,4.68,0.0,3,0.0
0.003976820815816385,0.0002271694684234438,0.000113584734211722,0.0,60-64,30-34,0.4214123006833713,-55.48,0.11389521640091115,8.91,439.0,9.0,0.0,,0,50.36000000000001,2804.034,6.78,27.39,0.0,245,125.0
